,p5,p25,p50,p75,p95
1mo,1.7852618104944562,2.5389081642043605,3.0784369794814492,3.5991581262853165,4.362235725381057
3mo,1.7702526261032898,2.5228504752021412,3.0612631767139247,3.5839327709699655,4.3413121004792625
6mo,1.7596451928479429,2.507855426804319,3.0436843137879297,3.573633747758795,4.334016552814457
1yr,1.7396076147353734,2.5053691967369476,3.041417830984389,3.5852143100435745,4.358992161034144
2yr,1.7763694298224484,2.583890742443745,3.132915477157216,3.7006981520196547,4.506765789858459
3yr,1.90958219130067,2.721501803410195,3.2836239218426257,3.8495256321571123,4.647688678614525
5yr,2.283957873049037,3.0511494191165314,3.5921895882583867,4.115467799790336,4.882074403622073
7yr,2.628772893521026,3.3358119134425137,3.8493079898792697,4.35134350926657,5.079130579265028
10yr,2.9703750225427745,3.6436982676426624,4.122287185009684,4.603535411847643,5.294298177457291
20yr,3.413732172756858,4.055473844588,4.515272046904753,4.9766766054622105,5.656089080977653
30yr,3.544562292297091,4.19286650734368,4.654094341771538,5.12442496382923,5.800260508771266
