scenario,unhedged_$K,s1_hedged_$K,s2_hedged_$K,s3_hedged_$K,s4_hedged_$K,s1_eff_%,s2_eff_%,s3_eff_%,s4_eff_%
parallel_up_100,-4232.647059876021,327.352940123979,-1347.147059876021,327.352940123979,342.852940123979,92.26599960986192,68.17246888722444,92.26599960986192,91.89979851204457
parallel_up_200,-7896.135510608719,1223.8644893912804,-2125.13551060872,1223.8644893912804,1254.8644893912804,84.50046243827785,73.08638500753274,84.50046243827785,84.10786532595182
parallel_up_300,-11092.89014805812,2587.1098519418797,-2436.3901480581203,2587.1098519418797,2633.6098519418797,76.67776551095866,78.0364709688879,76.67776551095866,76.25857809109459
parallel_down_100,4932.7416788408755,372.74167884087564,2047.2416788408757,372.74167884087564,357.24167884087564,92.44351918042332,58.496880393664796,92.44351918042332,92.75774605483046
parallel_down_200,10734.063631229454,1614.0636312294528,4963.063631229453,1614.0636312294528,1583.0636312294528,84.96316319074604,53.763422672565284,84.96316319074604,85.25196341650405
bear_steepener,-5584.832034735786,1255.1679652642142,-1384.5820347357858,1255.1679652642142,1074.4179652642142,77.52541244826183,75.20817052108015,77.52541244826183,80.76185714124088
bull_steepener,7320.228792277398,480.2287922773976,3119.9787922773976,480.2287922773976,660.9787922773976,93.43970242044861,57.3786710660072,93.43970242044861,90.97051730166264
bear_flattener,-2191.93738768448,88.06261231551971,-621.1873876844801,88.06261231551971,299.8126123155202,95.98243030068723,71.66034982684016,95.98243030068723,86.322026623569
bull_flattener,2351.662050777281,71.6620507772807,780.9120507772807,71.6620507772807,-140.0879492227193,96.95270624647812,66.7931856739717,96.95270624647812,94.04302377646411
inversion,-223.97558715517306,-223.97558715517306,32.024412844826934,-223.97558715517306,184.02441284482694,0.0,85.70182882358512,0.0,17.837289687588797
hump,-1233.9279114347385,-1233.9279114347385,-289.6779114347382,-1233.9279114347385,257.82208856526205,0.0,76.52391936754897,0.0,79.10557933117164
taper_tantrum_2013,-4802.558007103273,1216.6419928967282,-1449.7180071032726,1216.6419928967282,511.3719928967273,74.66679234072255,69.81362838389349,74.66679234072255,89.35209127843167
covid_shock_2020,4895.402202134047,244.2022021340467,1984.7372021340477,244.2022021340467,279.64720213404763,95.01160084400027,59.45711669474587,95.01160084400027,94.28755410511232
rate_shock_2022,-9053.234376510292,1206.7656234897077,-2486.3443765102925,1206.7656234897077,1357.1556234897078,86.67033710492676,72.53639668314109,86.67033710492676,85.00916283564898
fed_hike_25bps,4.577223683387739,4.577223683387739,4.577223683387739,4.577223683387739,4.577223683387739,0.0,0.0,0.0,0.0
fed_hike_50bps,9.241880502965302,9.241880502965302,9.241880502965302,9.241880502965302,9.241880502965302,0.0,0.0,0.0,0.0
fed_hike_75bps,13.995023644707864,13.995023644707864,13.995023644707864,13.995023644707864,13.995023644707864,0.0,0.0,0.0,0.0
fed_cut_25bps,-4.490019831721438,-4.490019831721438,-4.490019831721438,-4.490019831721438,-4.490019831721438,0.0,0.0,0.0,0.0
fed_cut_50bps,-8.892544944727561,-8.892544944727561,-8.892544944727561,-8.892544944727561,-8.892544944727561,0.0,0.0,0.0,0.0
stagflation,-7085.7145328682345,2034.2854671317655,-1757.4645328682345,2034.2854671317655,1364.0354671317655,71.29032707011547,75.19707398998435,71.29032707011547,80.74950012727064
flight_to_quality,4239.131853800331,-320.8681461996697,1732.3818538003304,-320.8681461996697,262.8818538003303,92.43080523876569,59.13356994906231,92.43080523876569,93.79868655029779
